circuit_id,circuit_name,locality,country
bahrain,Bahrain International Circuit,Sakhir,Bahrain
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
suzuka,Suzuka Circuit,Suzuka,Japan
shanghai,Shanghai International Circuit,Shanghai,China
miami,Miami International Autodrome,Miami,USA
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
monaco,Circuit de Monaco,Monte-Carlo,Monaco
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
red_bull_ring,Red Bull Ring,Spielberg,Austria
silverstone,Silverstone Circuit,Silverstone,UK
hungaroring,Hungaroring,Budapest,Hungary
spa,Circuit de Spa-Francorchamps,Spa,Belgium
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands
monza,Autodromo Nazionale di Monza,Monza,Italy
baku,Baku City Circuit,Baku,Azerbaijan
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore
americas,Circuit of the Americas,Austin,USA
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil
vegas,Las Vegas Strip Street Circuit,Las Vegas,United States
losail,Losail International Circuit,Al Daayen,Qatar
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE
